x,y,shapeID,colorNum,color
7764,13779,0,0,Black
7762,13777,0,0,Black
7762,13776,0,0,Black
7761,13776,0,0,Black
7761,13778,0,0,Black
7760,13779,0,0,Black
7759,13778,0,0,Black
7759,13776,0,0,Black
7759,13777,0,0,Black
7757,13779,0,0,Black
7756,13778,0,0,Black
7756,13776,0,0,Black
7754,13776,0,0,Black
7754,13778,0,0,Black
7753,13779,0,0,Black
7752,13779,0,0,Black
7751,13778,0,0,Black
7751,13776,0,0,Black
7750,13776,0,0,Black
7750,13777,0,0,Black
7748,13779,0,0,Black
7747,13778,0,0,Black
7747,13777,0,0,Black
7746,13776,0,0,Black
7745,13776,0,0,Black
7745,13778,0,0,Black
7744,13779,0,0,Black
7744,13807,0,0,Black
7746,13807,0,0,Black
7747,13808,0,0,Black
7745,13810,0,0,Black
7746,13810,0,0,Black
7747,13811,0,0,Black
7747,13813,0,0,Black
7746,13814,0,0,Black
7745,13814,0,0,Black
7745,13815,0,0,Black
7746,13816,0,0,Black
7746,13817,0,0,Black
7745,13818,0,0,Black
7745,13823,0,0,Black
7744,13824,0,0,Black
7744,13825,0,0,Black
7743,13826,0,0,Black
7739,13826,0,0,Black
7737,13824,0,0,Black
7734,13824,0,0,Black
7732,13826,0,0,Black
7728,13826,0,0,Black
7727,13825,0,0,Black
7727,13824,0,0,Black
7698,13824,0,0,Black
7698,13935,0,0,Black
7699,13936,0,0,Black
7699,13943,0,0,Black
7698,13944,0,0,Black
7698,13945,0,0,Black
7699,13944,0,0,Black
7700,13945,0,0,Black
7700,13946,0,0,Black
7699,13947,0,0,Black
7699,13951,0,0,Black
7698,13952,0,0,Black
7696,13952,0,0,Black
7696,13954,0,0,Black
7695,13955,0,0,Black
7694,13955,0,0,Black
7693,13954,0,0,Black
7693,13953,0,0,Black
7693,13954,0,0,Black
7692,13955,0,0,Black
7691,13955,0,0,Black
7690,13954,0,0,Black
7690,13953,0,0,Black
7688,13955,0,0,Black
7686,13953,0,0,Black
7682,13953,0,0,Black
7682,13954,0,0,Black
7681,13955,0,0,Black
7680,13955,0,0,Black
7679,13954,0,0,Black
7679,13952,0,0,Black
7679,13953,0,0,Black
7677,13955,0,0,Black
7676,13954,0,0,Black
7676,13952,0,0,Black
7674,13952,0,0,Black
7674,13954,0,0,Black
7673,13955,0,0,Black
7672,13955,0,0,Black
7671,13954,0,0,Black
7671,13952,0,0,Black
7670,13952,0,0,Black
7670,13953,0,0,Black
7668,13955,0,0,Black
7667,13954,0,0,Black
7667,13953,0,0,Black
7666,13952,0,0,Black
7665,13952,0,0,Black
7665,13954,0,0,Black
7664,13955,0,0,Black
7664,14077,0,0,Black
7663,14078,0,0,Black
9486,13683,1,0,Black
9485,13684,1,0,Black
9484,13684,1,0,Black
9483,13683,1,0,Black
9328,13683,1,0,Black
9328,13713,1,0,Black
9329,13713,1,0,Black
9331,13715,1,0,Black
9331,13718,1,0,Black
9328,13721,1,0,Black
9328,13722,1,0,Black
9327,13723,1,0,Black
9328,13724,1,0,Black
9329,13724,1,0,Black
9331,13726,1,0,Black
9331,13727,1,0,Black
9330,13728,1,0,Black
9326,13728,1,0,Black
9323,13731,1,0,Black
9320,13731,1,0,Black
9318,13729,1,0,Black
9318,13728,1,0,Black
9318,13730,1,0,Black
9317,13731,1,0,Black
9315,13731,1,0,Black
9314,13730,1,0,Black
9314,13729,1,0,Black
9314,13730,1,0,Black
9313,13731,1,0,Black
9312,13731,1,0,Black
9311,13730,1,0,Black
9311,13728,1,0,Black
9290,13728,1,0,Black
9289,13727,1,0,Black
9288,13728,1,0,Black
9284,13728,1,0,Black
9283,13727,1,0,Black
9282,13728,1,0,Black
9282,13812,1,0,Black
9280,13814,1,0,Black
9280,13817,1,0,Black
9282,13819,1,0,Black
9282,13823,1,0,Black
9281,13824,1,0,Black
9280,13824,1,0,Black
9280,13826,1,0,Black
9279,13827,1,0,Black
9277,13825,1,0,Black
9277,13824,1,0,Black
9276,13823,1,0,Black
9275,13824,1,0,Black
9274,13824,1,0,Black
9274,13825,1,0,Black
9272,13827,1,0,Black
9271,13827,1,0,Black
9269,13825,1,0,Black
9269,13824,1,0,Black
9266,13824,1,0,Black
9266,13825,1,0,Black
9264,13827,1,0,Black
9263,13826,1,0,Black
9263,13824,1,0,Black
9232,13824,1,0,Black
9232,13900,1,0,Black
9264,13900,1,0,Black
9265,13901,1,0,Black
9267,13901,1,0,Black
9268,13900,1,0,Black
9269,13900,1,0,Black
9270,13901,1,0,Black
9270,13902,1,0,Black
9270,13901,1,0,Black
9271,13900,1,0,Black
9272,13900,1,0,Black
9273,13901,1,0,Black
9275,13901,1,0,Black
9276,13902,1,0,Black
9276,13900,1,0,Black
9277,13899,1,0,Black
9278,13900,1,0,Black
9278,13901,1,0,Black
9279,13902,1,0,Black
9278,13903,1,0,Black
9279,13902,1,0,Black
9280,13903,1,0,Black
9282,13903,1,0,Black
9283,13904,1,0,Black
9283,13905,1,0,Black
9281,13907,1,0,Black
9280,13907,1,0,Black
9280,13911,1,0,Black
9281,13911,1,0,Black
9283,13913,1,0,Black
9283,13915,1,0,Black
