x,y,shapeID,colorNum,classification,color
13215,14591,5,0,,Black
13215,14304,5,0,,Black
13229,14303,5,0,,Black
13136,15023,6,0,,Black
13279,15023,6,0,,Black
13280,15024,6,0,,Black
13280,15103,6,0,,Black
13327,15103,6,0,,Black
13328,15104,6,0,,Black
13328,15108,6,0,,Black
13327,15109,6,0,,Black
13320,15109,6,0,,Black
13321,15110,6,0,,Black
13321,15111,6,0,,Black
13319,15113,6,0,,Black
13313,15113,6,0,,Black
13317,15113,6,0,,Black
13318,15114,6,0,,Black
13327,15114,6,0,,Black
13328,15115,6,0,,Black
13328,15311,6,0,,Black
13327,15312,6,0,,Black
13280,15312,6,0,,Black
13280,15344,6,0,,Black
13279,15345,6,0,,Black
13280,15346,6,0,,Black
13280,15359,6,0,,Black
13279,15360,6,0,,Black
13136,15360,6,0,,Black
13135,15359,6,0,,Black
13135,15024,6,0,,Black
14416,12976,7,0,,Black
14416,13103,7,0,,Black
14415,13104,7,0,,Black
14411,13104,7,0,,Black
14410,13103,7,0,,Black
14410,13096,7,0,,Black
14409,13097,7,0,,Black
14408,13097,7,0,,Black
14406,13095,7,0,,Black
14406,13088,7,0,,Black
14406,13093,7,0,,Black
14405,13094,7,0,,Black
14405,13103,7,0,,Black
14404,13104,7,0,,Black
14394,13104,7,0,,Black
14393,13103,7,0,,Black
14390,13103,7,0,,Black
14389,13104,7,0,,Black
14368,13104,7,0,,Black
14368,13151,7,0,,Black
14367,13152,7,0,,Black
14320,13152,7,0,,Black
14320,13199,7,0,,Black
14319,13200,7,0,,Black
14272,13200,7,0,,Black
14272,13231,7,0,,Black
14271,13232,7,0,,Black
14224,13232,7,0,,Black
14224,13327,7,0,,Black
14223,13328,7,0,,Black
14192,13328,7,0,,Black
14192,13631,7,0,,Black
14223,13631,7,0,,Black
14224,13632,7,0,,Black
14224,13711,7,0,,Black
14310,13711,7,0,,Black
14311,13712,7,0,,Black
14312,13711,7,0,,Black
14319,13711,7,0,,Black
14320,13712,7,0,,Black
14320,13759,7,0,,Black
14367,13759,7,0,,Black
14368,13760,7,0,,Black
14368,13767,7,0,,Black
14367,13768,7,0,,Black
14368,13769,7,0,,Black
14368,13807,7,0,,Black
14495,13807,7,0,,Black
14496,13808,7,0,,Black
14496,13855,7,0,,Black
14543,13855,7,0,,Black
14544,13856,7,0,,Black
14544,13887,7,0,,Black
14575,13887,7,0,,Black
14576,13888,7,0,,Black
14576,13894,7,0,,Black
14575,13895,7,0,,Black
14544,13895,7,0,,Black
14575,13895,7,0,,Black
14576,13896,7,0,,Black
14576,13903,7,0,,Black
14591,13903,7,0,,Black
14592,13904,7,0,,Black
14592,13935,7,0,,Black
14607,13935,7,0,,Black
14607,13920,7,0,,Black
14608,13919,7,0,,Black
14609,13919,7,0,,Black
14610,13920,7,0,,Black
14610,13935,7,0,,Black
14610,13904,7,0,,Black
14611,13903,7,0,,Black
14615,13903,7,0,,Black
14616,13904,7,0,,Black
14616,13919,7,0,,Black
14617,13919,7,0,,Black
14617,13904,7,0,,Black
14618,13903,7,0,,Black
14623,13903,7,0,,Black
14623,13898,7,0,,Black
14624,13897,7,0,,Black
14639,13897,7,0,,Black
14639,13896,7,0,,Black
14640,13895,7,0,,Black
14847,13895,7,0,,Black
14848,13894,7,0,,Black
14849,13894,7,0,,Black
14849,13816,7,0,,Black
14848,13815,7,0,,Black
14806,13815,7,0,,Black
14805,13816,7,0,,Black
14803,13814,7,0,,Black
14804,13813,7,0,,Black
14804,13809,7,0,,Black
14803,13808,7,0,,Black
14804,13807,7,0,,Black
14804,13776,7,0,,Black
14803,13775,7,0,,Black
14803,13774,7,0,,Black
14804,13773,7,0,,Black
14804,13771,7,0,,Black
14803,13770,7,0,,Black
14802,13770,7,0,,Black
14802,13771,7,0,,Black
14801,13772,7,0,,Black
14800,13771,7,0,,Black
14800,13770,7,0,,Black
14719,13770,7,0,,Black
14719,13771,7,0,,Black
14718,13772,7,0,,Black
14717,13771,7,0,,Black
14717,13770,7,0,,Black
14716,13770,7,0,,Black
14715,13771,7,0,,Black
14713,13769,7,0,,Black
14714,13768,7,0,,Black
14714,13726,7,0,,Black
14713,13725,7,0,,Black
14672,13725,7,0,,Black
14671,13726,7,0,,Black
14670,13726,7,0,,Black
14667,13724,7,0,,Black
14668,13723,7,0,,Black
14669,13723,7,0,,Black
14668,13722,7,0,,Black
14668,13721,7,0,,Black
14669,13720,7,0,,Black
14669,13680,7,0,,Black
14625,13680,7,0,,Black
